trippoint_id,point_timestamp,latitude,longitude,category,speed,speed_limit,bearing,trip_id
3360678551,2013-11-07 06:15:38,41.973433,12.547566,1,98.0,20.0,300.0,687187499
3452033855,2013-11-28 07:05:41,41.973383,12.547566,5,122.0,20.0,120.0,707624152
3409527465,2013-11-18 10:13:47,41.97335,12.5476,5,142.0,20.0,120.0,697474851
3427847050,2013-11-20 10:51:02,41.9734,12.5476,5,60.0,20.0,38.0,701790250
3352215712,2013-11-04 10:32:04,41.973383,12.547616,5,40.0,20.0,44.0,684561602
3405037677,2013-11-17 07:24:49,41.973433,12.547633,1,98.0,20.0,300.0,696556349
3445894927,2013-11-26 13:10:13,41.9734,12.547633,5,60.0,20.0,46.0,705848356
3434417672,2013-11-23 17:31:23,41.973383,12.54755,5,102.0,20.0,120.0,703309381
3348828389,2013-11-03 08:28:23,41.973377,12.547602,5,122.0,20.0,300.0,683787496
3417893240,2013-11-19 20:59:13,41.973416,12.5476,5,56.0,20.0,42.0,699435004
3382899991,2013-11-10 11:54:50,41.973383,12.547583,5,48.0,20.0,42.0,691469664
3392918980,2013-11-14 11:51:16,41.973383,12.547616,5,56.0,20.0,44.0,693809153
3356483000,2013-11-05 13:57:54,41.973366,12.5476,5,48.0,20.0,44.0,685517625
3426102867,2013-11-21 23:02:39,41.973424,12.547607,5,142.0,20.0,300.0,701655416
3393105194,2013-11-14 12:14:45,41.973366,12.547566,5,118.0,20.0,120.0,693861809
3459175159,2013-11-29 15:54:39,41.97335,12.547595,5,18.0,20.0,118.0,709140296
3360335187,2013-11-06 22:25:13,41.9734,12.54755,5,116.0,20.0,120.0,686413441
3381134861,2013-11-11 14:14:49,41.97335,12.547566,5,94.0,20.0,120.0,691067103
3410474378,2013-11-18 14:02:02,41.973383,12.547583,5,90.0,20.0,120.0,698086944
3496772251,2013-12-07 17:08:54,41.973406,12.547553,5,144.0,20.0,120.0,717446685
3561206549,2013-12-21 15:09:13,41.973383,12.547633,5,52.0,20.0,52.0,732143698
3485922024,2013-12-05 16:55:13,41.97335,12.547633,5,58.0,20.0,42.0,715292099
3507610448,2013-12-10 13:44:41,41.973383,12.547583,5,50.0,20.0,38.0,719877150
3537552815,2013-12-17 07:24:20,41.9734,12.547566,5,96.0,20.0,120.0,726732559
3479454423,2013-12-04 11:10:39,41.973383,12.547583,5,114.0,20.0,120.0,714583496
3502416822,2013-12-09 09:27:11,41.973433,12.547616,1,96.0,20.0,300.0,718683419
3499415261,2013-12-08 16:44:01,41.973428,12.547562,1,118.0,20.0,300.0,718016949
3573353017,2013-12-24 12:53:25,41.973366,12.547566,5,136.0,20.0,120.0,735533792
3516803190,2013-12-12 12:57:58,41.973366,12.547583,5,92.0,20.0,120.0,722039738
3492294025,2013-12-06 17:58:35,41.97335,12.547566,5,102.0,20.0,118.0,716394015
3574353937,2013-12-24 16:31:32,41.9734,12.547583,5,50.0,20.0,40.0,735212991
3517381666,2013-12-12 07:50:24,41.973383,12.5476,5,58.0,20.0,34.0,722167640
3600498332,2013-12-31 17:33:20,41.973404,12.547633,5,60.0,20.0,46.0,742244755
3486807794,2013-12-05 19:41:40,41.97335,12.54755,1,104.0,20.0,120.0,716645616
3581634377,2013-12-27 08:13:02,41.973424,12.547616,5,118.0,20.0,300.0,736869844
3488169777,2013-12-05 19:30:02,41.97335,12.5476,5,50.0,20.0,42.0,715439394
3576513582,2013-12-25 11:30:47,41.973356,12.547639,5,60.0,20.0,46.0,735766466
3474996384,2013-12-03 10:46:13,41.973366,12.547616,5,118.0,20.0,120.0,712491957
3496894068,2013-12-07 22:58:36,41.97335,12.547583,5,126.0,20.0,120.0,717463448
3492681044,2013-12-07 07:04:14,41.973366,12.547583,5,96.0,20.0,120.0,716565373
3561546250,2013-12-21 19:54:24,41.973433,12.547583,1,116.0,20.0,300.0,732696241
3567718263,2013-12-22 16:01:22,41.97335,12.547583,5,48.0,20.0,42.0,733616547
3508229129,2013-12-10 14:04:49,41.973416,12.547633,5,60.0,20.0,40.0,720012291
3756255803,2014-02-06 09:48:36,41.97335,12.547566,5,114.0,20.0,120.0,777527688
3783235382,2014-02-12 10:19:35,41.973416,12.547616,5,138.0,20.0,300.0,783007576
3797248245,2014-02-15 10:10:37,41.97335,12.547616,5,58.0,20.0,46.0,786201891
3766651113,2014-02-08 13:14:26,41.97335,12.547616,5,58.0,20.0,44.0,779559645
3794481173,2014-02-14 08:09:55,41.973416,12.547633,5,126.0,20.0,300.0,785558086
3736594684,2014-02-01 16:03:12,41.9734,12.547566,5,42.0,20.0,36.0,773579400
3792408746,2014-02-14 10:04:51,41.97335,12.54755,1,102.0,20.0,120.0,785102467
3763115252,2014-02-07 16:26:15,41.973366,12.54755,1,86.0,20.0,120.0,778680434
3779343041,2014-02-09 18:53:35,41.973366,12.5476,5,46.0,20.0,40.0,782120835
3764529297,2014-02-08 00:50:26,41.973433,12.547583,1,116.0,20.0,300.0,779328274
3822614438,2014-02-20 20:21:47,41.9734,12.54755,5,114.0,20.0,300.0,792034766
3810194271,2014-02-18 07:46:17,41.97335,12.547616,5,56.0,20.0,40.0,789101750
3747391542,2014-02-03 16:53:23,41.973383,12.547633,5,114.0,20.0,300.0,774794238
3807769831,2014-02-17 17:24:53,41.973366,12.547566,5,116.0,20.0,120.0,788549679
3781298445,2014-02-11 19:04:48,41.973366,12.547583,5,102.0,20.0,120.0,782580880
3845300232,2014-02-25 13:51:26,41.97335,12.547616,5,54.0,20.0,46.0,797179027
3743104273,2014-02-03 07:17:59,41.97335,12.54755,1,48.0,20.0,44.0,773773705
3820189538,2014-02-19 20:04:42,41.973375,12.547628,5,52.0,20.0,48.0,791481488
4150287686,2014-04-28 15:27:10,41.973383,12.54755,5,122.0,20.0,120.0,866117086
4035395560,2014-04-05 22:42:04,41.973354,12.547599,5,118.0,20.0,122.0,841770928
4130767561,2014-04-24 09:46:05,41.97335,12.547566,5,62.0,20.0,50.0,862006812
4149829400,2014-04-27 14:55:13,41.97335,12.5476,5,98.0,20.0,120.0,866014741
4146004285,2014-04-21 10:13:00,41.97335,12.547616,5,60.0,20.0,42.0,865169953
4093670030,2014-04-17 11:39:00,41.97335,12.5476,5,52.0,20.0,46.0,853763816
4151629859,2014-04-29 05:52:41,41.973422,12.547642,5,102.0,20.0,300.0,866444534
4077598634,2014-04-14 13:03:59,41.97335,12.547583,5,110.0,20.0,120.0,850610829
4149442405,2014-04-28 15:09:41,41.973366,12.547633,5,112.0,20.0,120.0,865940970
4042441375,2014-04-07 13:42:17,41.97335,12.547633,5,120.0,20.0,120.0,841737403
4090561747,2014-04-16 13:48:17,41.973366,12.54755,1,96.0,20.0,120.0,853067328
4132040030,2014-04-25 07:56:16,41.9734,12.547616,5,118.0,20.0,302.0,864129445
4108545817,2014-04-20 09:21:04,41.973383,12.547633,5,46.0,20.0,48.0,857196870
4067099118,2014-04-12 08:21:40,41.9734,12.5476,5,116.0,20.0,300.0,848022224
4014176532,2014-04-01 10:17:00,41.9734,12.547566,5,116.0,20.0,120.0,835357730
4142059011,2014-04-27 10:54:11,41.973383,12.547633,5,42.0,20.0,44.0,864392708
4079075572,2014-04-14 12:56:53,41.97335,12.547633,5,120.0,20.0,120.0,850320116
4028271662,2014-04-04 10:49:20,41.973413,12.54759,5,114.0,20.0,120.0,838611102
4094606081,2014-04-17 14:38:23,41.97335,12.547633,5,46.0,20.0,46.0,856483722
4154862621,2014-04-29 18:35:22,41.97335,12.5476,5,110.0,20.0,120.0,867205262
4080133748,2014-04-15 03:02:30,41.9734,12.547616,5,58.0,20.0,40.0,851553521
4066251675,2014-04-12 05:56:00,41.97335,12.547566,5,64.0,20.0,44.0,847904614
4113443653,2014-04-21 13:04:20,41.9734,12.547583,5,132.0,20.0,120.0,858167759
